formula,Crystal System,band_gap_calculated (eV)
MoN,Cubic,0
MoN,Hexagonal,0
MoN,Monoclinic,0
MoN,Orthorhombic,0
FeB,Orthorhombic,0
FeB,Tetragonal,0
Ac2Mg,Monoclinic,0
Ac2Mg,Orthorhombic,0
Ac2Mg,Tetragonal,0
Ac2O3,Trigonal,3.5226
Ac2S3,Tetragonal,2.2962
Ac2S3,Trigonal,3.0275
Ac3Ag,Hexagonal,0
Ac3Ag,Tetragonal,0
Ac3Au,Cubic,0
Ac3Br,Hexagonal,0
Ac3Cd,Hexagonal,0
Ac3Cd,Tetragonal,0
Ac3Ce,Cubic,0
Ac3Ce,Hexagonal,0
Ac3Ce,Tetragonal,0
Ac3Cl,Cubic,0
Ac3Cl,Hexagonal,0
Ac3Cr,Cubic,0
Ac3Dy,Hexagonal,0
Ac3Dy,Tetragonal,0
Ac3Er,Hexagonal,0
Ac3Er,Tetragonal,0
Ac3Eu,Hexagonal,0
Ac3Hg,Hexagonal,0
Ac3Ho,Hexagonal,0
Ac3I,Hexagonal,0
Ac3I,Tetragonal,0
Ac3In,Hexagonal,0
Ac3La,Hexagonal,0
Ac3La,Tetragonal,0
Ac3Lu,Hexagonal,0
Ac3Lu,Tetragonal,0
Ac3Mo,Tetragonal,0
Ac3Nb,Tetragonal,0
Ac3Nd,Hexagonal,0
Ac3Np,Hexagonal,0
Ac3Pa,Hexagonal,0
Ac3Pm,Hexagonal,0
Ac3Pr,Hexagonal,0
Ac3Sc,Hexagonal,0
Ac3Si,Hexagonal,0
Ac3Sm,Hexagonal,0
Ac3Sn,Cubic,0
Ac3Tb,Hexagonal,0
Ac3Th,Hexagonal,0
Ac3Ti,Tetragonal,0
Ac3Tl,Hexagonal,0
Ac3Tm,Hexagonal,0
Ac3Tm,Tetragonal,0
Ac3V,Tetragonal,0
Ac3Y,Hexagonal,0
Ac3Y,Tetragonal,0
Ac3Yb,Cubic,0
Ac3Yb,Hexagonal,0
Ac3Yb,Tetragonal,0
Ac3Zn,Hexagonal,0
Ac3Zn,Tetragonal,0
Ac3Zr,Cubic,0
Ac3Zr,Tetragonal,0
AcAg,Cubic,0
AcAg3,Hexagonal,0
AcAl3,Hexagonal,0
AcAu3,Hexagonal,0
AcBr3,Hexagonal,4.1033
AcCd3,Hexagonal,0
AcCe3,Cubic,0
AcCe3,Hexagonal,0
AcCe3,Tetragonal,0
AcCl3,Hexagonal,5.0865
AcCu3,Hexagonal,0
AcDy3,Cubic,0
AcDy3,Tetragonal,0
AcEr3,Cubic,0
AcEu3,Hexagonal,0
AcF3,Cubic,7.4101
AcF3,Tetragonal,6.0693
AcGa3,Hexagonal,0
AcGe3,Hexagonal,0
AcH2,Cubic,0
AcH3,Cubic,0.6407
AcHg3,Hexagonal,0
AcI3,Hexagonal,2.5892
AcIn3,Hexagonal,0
AcLa,Hexagonal,0
AcLa3,Hexagonal,0
AcLa3,Tetragonal,0
AcMg,Cubic,0
AcMg149,Hexagonal,0.2168
AcMg3,Cubic,0
AcMg3,Hexagonal,0
AcMg5,Hexagonal,0
AcN,Hexagonal,0.0517
AcNb3,Cubic,0
AcNd3,Hexagonal,0
AcNd3,Tetragonal,0
AcO,Hexagonal,0
AcPm3,Hexagonal,0
AcPm3,Tetragonal,0
AcPr3,Hexagonal,0
AcPr3,Tetragonal,0
AcSc3,Hexagonal,0
AcSe3,Hexagonal,0
AcSe3,Tetragonal,0
AcSi3,Hexagonal,0
AcSm3,Hexagonal,0
AcSm3,Tetragonal,0
AcTb3,Tetragonal,0
AcTe3,Tetragonal,0
AcTh,Hexagonal,0
AcTh3,Hexagonal,0
