formula,Crystal System,band_gap_experimenatal (eV)
As ,Trigonal ,0.8005
Au ,Cubic ,2.6
B ,Amorphous ,1.3
B ,Tetragonal ,1.431157895
B ,Trigonal ,1.775
Bi ,Trigonal ,0.028242857
C ,Cubic ,5.475125
C ,Hexagonal ,0
Ge ,Amorphous ,0.7
Ge ,Cubic ,0.714545455
I ,Orthorhombic ,1.40875
P ,Cubic ,1.7375
P ,Monoclinic ,2
P ,Orthorhombic ,0.334
P ,Trigonal ,1.5
S ,Monoclinic ,3.931428571
S ,Orthorhombic ,2.55
Sb ,Trigonal ,0.115375
Se ,Monoclinic ,2.48
Se ,Trigonal ,1.811388889
Si ,Amorphous ,0.4
Si ,Cubic ,1.222241667
Sn ,Cubic ,0.150363636
Te ,Trigonal ,0.334666667
Ag2O ,Cubic ,1.2685
Ag2S ,Cubic ,1.13
Ag2S ,Monoclinic ,0.87
Ag2Se ,Cubic ,0.281666667
Ag2Se ,Orthorhombic ,0.239125
Ag2Te ,Cubic ,0.4725
Ag2Te ,Monoclinic ,0.311458333
AgBr ,Cubic ,2.979272727
AgCl ,Cubic ,3.490307692
AgI ,Hexagonal ,2.8695
AgN3 ,Orthorhombic ,3.67
AgP15 ,Triclinic ,1.39
AgS ,Monoclinic ,1.154666667
AgTe ,Orthorhombic ,0.77
Al2O3 ,Cubic ,2.483333333
Al2O3 ,Hexagonal ,3.676
Al2O3 ,Trigonal ,7.15
Al2S3 ,Hexagonal ,4.1
Al2Se3 ,Hexagonal ,2.8
Al2Te3 ,Cubic ,2.357142857
AlAs ,Cubic ,2.407222222
AlB12 ,Orthorhombic ,2.5
AlB12 ,Trigonal ,2.02
AlN ,Hexagonal ,5.38625
AlP ,Cubic ,2.673095238
AlSb ,Cubic ,1.647136364
As2B12 ,Trigonal ,1.51
As2S3 ,Monoclinic ,2.557692308
As2S5 ,Orthorhombic ,2.28
As2Se3 ,Monoclinic ,1.816
As2Te3 ,Monoclinic ,1.26
AsBr3 ,Orthorhombic ,2.6
AsI3 ,Trigonal ,2.415
AsSe ,Monoclinic ,1.215
AsTe ,Cubic ,0.74
AsTe3 ,Monoclinic ,0.43
AsTe3 ,Rhombohedral ,0.3
B12P2 ,Trigonal ,3.3
B4C (B12C3) ,Trigonal ,1.64
BaF2 ,Cubic ,9.1425
BaO ,Cubic ,4.576666667
BaS ,Cubic ,2.6725
BaSe ,Cubic ,3.6
BaTe ,Cubic ,3.4
Be3N2 ,Cubic ,3.8
BeO ,Hexagonal ,10.57666667
Bi0.74Sb0.26 ,Trigonal ,0.02
Bi0.78Sb0.22 ,Trigonal ,0
Bi0.85Sb0.15 ,Trigonal ,0.025
Bi0.935Sb0.065 ,Trigonal ,0
BI2O3 ,Monoclinic ,2.751428571
BI2O3 ,Orthorhombic ,2.6
Bi2S3 ,Orthorhombic ,1.176666667
Bi2Se3 ,Trigonal ,0.237333333
Bi2Te3 ,Trigonal ,0.153571429
Bi8Se9 ,Trigonal ,0.233
BIBr3 ,Monoclinic ,2.66
BiI3 ,Hexagonal ,2.02075
BiI3 ,Rhombohedral ,1.8
BiSe ,Hexagonal ,0.4
BN ,Cubic ,6.777777778
BN ,Hexagonal ,4.854545455
BP ,Cubic ,2.94
Ca2Ge ,Orthorhombic ,1
Ca2Pb ,Orthorhombic ,0.464444444
Ca2Si ,Orthorhombic ,1.9
Ca2Sn ,Orthorhombic ,0.9
Ca3N2 ,Cubic ,1.55
CaB6 ,Cubic ,4.066666667
CaF2 ,Cubic ,9.973333333
CaH2 ,Cubic ,3
CaH2 ,Orthorhombic ,4.4
CaI2 ,Trigonal ,5.98
CaO ,Cubic ,7.066
CaS ,Cubic ,5.69
CaSe ,Cubic ,4.87
CaTe ,Cubic ,4.07
CBr4 ,Monoclinic ,3.7
Cd3As2 ,Tetragonal ,0.219866667
Cd3P2 ,Tetragonal ,0.548285714
Cd4Sb3 ,Orthorhombic ,1.2875
CdAs2 ,Tetragonal ,0.976666667
CdBr2 ,Hexagonal ,4.47
CdCl2 ,Hexagonal ,5.75
CdF2 ,Cubic ,6
CdI2 ,Trigonal ,3.7729
CdO ,Cubic ,1.612142857
CdP2 ,Tetragonal ,1.747888889
CdP4 ,Monoclinic ,1.0297
CdS ,Cubic ,2.52629375
CdSb ,Orthorhombic ,0.510909091
CdSe ,Cubic ,1.840903571
CdTe ,Cubic ,1.51625
CdTe2 ,Cubic ,1.08
Ce2S3 ,Cubic ,1.706666667
Ce2Se3 ,Cubic ,1.79
Ce2Te3 ,Cubic ,1.26
Ce3S4 ,Cubic ,1.82
Ce4Te7 ,Tetragonal ,0.5
CeF3 ,Trigonal ,4.85
CeN ,Cubic ,0.7
CeO2 ,Cubic ,2.82
CeTe2 ,Tetragonal ,0.036
CeTe3 ,Orthorhombic ,0.041
CI4 ,Tetragonal ,2.26
CoAs2 ,Monoclinic ,0.15
CoAs3 ,Cubic ,0.25
CoO ,Tetragonal ,0.441666667
CoSi ,Cubic ,0.045
Cr2.04Se3 ,Trigonal ,0.15
Cr2O3 ,Trigonal ,1.4725
Cr2S3 ,Trigonal ,0.9
Cr3Se4 ,Monoclinic ,0.015
CrSb ,Hexagonal ,0.2
CrSi2 ,Hexagonal ,0.35
Cs2Te ,Orthorhombic ,3.5
Cs3As ,Hexagonal ,0.6
Cs3Bi ,Cubic ,0.585
Cs3Sb ,Cubic ,1.65
CsBi2 ,Cubic ,0.55
CsBr ,Cubic ,6.96
CsCl ,Cubic ,7.766666667
CsF ,Cubic ,10
CsI ,Cubic ,6.3175
CsSb ,Cubic ,0.654
Cu1.8S ,Cubic ,2.3
Cu2O ,Cubic ,2.090866667
Cu2S ,Cubic ,1.35
Cu2S ,Hexagonal ,1.454285714
Cu2S ,Orthorhombic ,1.345
Cu2Se ,Cubic ,1.151
Cu2Te ,Cubic ,1.15
Cu2Te ,Hexagonal ,0.997142857
Cu3N ,Cubic ,0.23
CuBr ,Cubic ,2.9874
CuCl ,Cubic ,3.267425
CuI ,Cubic ,3.0264
CuN3 ,Tetragonal ,4.565
CuO ,Monoclinic ,0.8
CuP2 ,Monoclinic ,1.4525
Dy2O3 ,Cubic ,2.235
Dy2S3 ,Cubic ,2.955
Dy2S3 ,Monoclinic ,0.34
Dy2Te3 ,Orthorhombic ,0.69
DyAs ,Cubic ,1
DyB6 ,Cubic ,3.3
DyN ,Cubic ,2.35
DyTe1.40 ,Orthorhombic ,0.6
DyTe1.45 ,Orthorhombic ,0.6
DyTe1.7 ,Tetragonal ,0.35
Er2O3 ,Cubic ,2.33
Er2Se3 ,Cubic ,0.19
Er2Se3 ,Orthorhombic ,1.66
Er2Te3 ,Orthorhombic ,0.9
ErB6 ,Cubic ,3.5
ErN ,Cubic ,2.7
ErSe2 ,Orthorhombic ,0.775
ErTe ,Cubic ,0.9
Eu2O3 ,Cubic ,1.77
Eu2Se3 ,Orthorhombic ,1.02
Eu3As2 ,Cubic ,0.875
Eu3O4 ,Orthorhombic ,0.6
Eu3P2 ,Cubic ,1.2
Eu3S4 ,Cubic ,0.163
EuH2 ,Orthorhombic ,1.85
EuN ,Cubic ,1.36
EuO ,Cubic ,1.90925
EuS ,Cubic ,2.202
EuSe ,Cubic ,2.134
EuTe ,Cubic ,1.898
Fe2O3 ,Hexagonal ,1.916666667
Fe2Te3 ,Hexagonal ,0.47
FeAs2 ,Orthorhombic ,0.2
FeI2 ,Trigonal ,5.15
FeP2 ,Orthorhombic ,0.4
FeS2 ,Cubic ,0.79
FeS2 ,Orthorhombic ,0.8825
FeSb2 ,Orthorhombic ,0.11
FeSe2 ,Orthorhombic ,0.6375
FeSi ,Cubic ,0.1
FeSi2 ,Orthorhombic ,0.876666667
