formula,Crystal System,band_gap_calculated (eV)
Ac,Cubic,0
Ac,Hexagonal,0
Ac,Trigonal,0
Ag,Cubic,0
Ag,Hexagonal,0
Ag,Trigonal,0
Al,Cubic,0
Al,Hexagonal,0
Al,Tetragonal,0
Al,Triclinic,0
Ar,Cubic,8.5132
Ar,Hexagonal,8.4898
As,Cubic,0
As,Orthorhombic,0
As,Tetragonal,0
As,Trigonal,0
Au,Cubic,0
Au,Hexagonal,0
Au,Monoclinic,0
B,Cubic,0
B,Hexagonal,0
B,Monoclinic,0.25405
B,Orthorhombic,1.5133
B,Tetragonal,0
B,Triclinic,0
B,Trigonal,0.28668
Ba,Cubic,0
Ba,Hexagonal,0
Ba,Orthorhombic,0
Ba,Tetragonal,0
Be,Cubic,0
Be,Hexagonal,0
Be,Tetragonal,0
Bi,Cubic,0
Bi,Monoclinic,0.264233333
Bi,Orthorhombic,0.0131
Bi,Tetragonal,0
Bi,Trigonal,0
Br,Cubic,0
Br,Orthorhombic,1.11855
Br,Tetragonal,0
C,Cubic,1.328355556
C,Hexagonal,1.659018182
C,Monoclinic,1.0775375
C,Orthorhombic,0.628278947
C,Tetragonal,1.88124
C,Triclinic,0.064525
C,Trigonal,1.4203
Ca,Cubic,0
Ca,Hexagonal,0
Ca,Orthorhombic,0
Ca,Tetragonal,0
Cd,Cubic,0
Cd,Hexagonal,0
Cd,Trigonal,0
Ce,Cubic,0
Ce,Hexagonal,0
Ce,Monoclinic,0
Ce,Orthorhombic,0
Cl2,Orthorhombic,2.4126
Cl2,Tetragonal,2.6476
Co,Cubic,0
Co,Hexagonal,0
Co,Tetragonal,0
Co,Trigonal,0
Cr,Cubic,0
Cr,Hexagonal,0
Cr,Orthorhombic,0
Cr,Tetragonal,0
Cs,Cubic,0.02724
Cs,Hexagonal,0
Cs,Monoclinic,0
Cs,Orthorhombic,0
Cs,Tetragonal,0
Cu,Cubic,0
Cu,Hexagonal,0
Cu,Monoclinic,0
Cu,Orthorhombic,0
Cu,Tetragonal,0
Cu,Trigonal,0
Dy,Cubic,0
Dy,Hexagonal,0
Dy,Trigonal,0
Er,Cubic,0
Er,Hexagonal,0
Er,Trigonal,0
Eu,Cubic,0
Eu,Hexagonal,0
Eu,Orthorhombic,0
Eu,Trigonal,0
F2,Cubic,0
F2,Monoclinic,1.442525
F2,Orthorhombic,2.9964
Fe,Cubic,0
Fe,Hexagonal,0
Fe,Orthorhombic,0
Fe,Tetragonal,0
Fe,Triclinic,0
Ga,Cubic,0
Ga,Orthorhombic,0
Ga,Tetragonal,0
Ga,Trigonal,0
Gd,Cubic,0
Gd,Hexagonal,0
Gd,Trigonal,0
Ge,Cubic,0.190466667
Ge,Hexagonal,0
Ge,Orthorhombic,0
Ge,Tetragonal,0.17165
Ge,Trigonal,0
H2,Cubic,7.48695
H2,Hexagonal,5.54765
H2,Monoclinic,8.1865
H2,Orthorhombic,5.9991
H2,Tetragonal,7.44468
He,Cubic,17.76455
He,Hexagonal,17.17695
Hf,Cubic,0
Hf,Hexagonal,0
Hg,Cubic,0.3949
Hg,Hexagonal,0.165466667
Hg,Monoclinic,0.3787
Hg,Orthorhombic,0.26852
Hg,Tetragonal,0
Hg,Trigonal,0.434
Ho,Cubic,0
Ho,Hexagonal,0
Ho,Trigonal,0
I,Cubic,0
I,Orthorhombic,0.55725
I,Tetragonal,0
In,Cubic,0
In,Hexagonal,0
In,Tetragonal,0
In,Trigonal,0
Ir,Cubic,0
Ir,Hexagonal,0
Ir,Orthorhombic,0
K,Cubic,0
K,Hexagonal,0
K,Monoclinic,0
K,Orthorhombic,0
K,Tetragonal,0
K,Trigonal,0
Kr,Cubic,7.17475
Kr,Hexagonal,7.1647
Kr,Trigonal,7.1748
La,Cubic,0
La,Hexagonal,0
Li,Cubic,0
Li,Hexagonal,0
Li,Orthorhombic,0
Li,Trigonal,0
Lu,Cubic,0
Lu,Hexagonal,0
Lu,Trigonal,0
Mg,Cubic,0
Mg,Hexagonal,0
Mg,Orthorhombic,0
Mg,Tetragonal,0
Mg,Trigonal,0
Mn,Cubic,0
Mn,Hexagonal,0
Mn,Tetragonal,0
Mo,Cubic,0
