formula,Crystal System,band_gap_experimenatal (eV)
(Cs6Cl)6Cs3[Ga53Se96] ,trigonal ,2.74
(H3O)2Pt(IO3)6 ,Hexagonal ,2.12
(H3O)2Pt(IO3)6 ,trigonal ,2.4
(Hg2As)2(CdI4) ,Monoclinic ,1.45
(Hg4As2)(HfCl6) ,Orthorhombic ,2.47
(Hg4As2)(ZrCl6) ,Orthorhombic ,2.48
(Hg4P2)(HfCl6) ,Orthorhombic ,3.26
(Hg4P2)(ZrCl6) ,Orthorhombic ,3.22
(Hg6P3)(In2Cl9) ,Monoclinic ,3.13
(Hg8As4)(Bi3Cl13) ,trigonal ,4.3
(N2H5)15Pb3I21 ,Hexagonal ,2.34
(N2H5)PbI3 ,Hexagonal ,2.7
(N2H5)PbI3 ,Orthorhombic ,2.7
(Pb3O)2(BO3)2CrO4 ,Orthorhombic ,1.8
(Pb3O)2(BO3)2MoO4 ,Orthorhombic ,2.9
(Sb1/3Zn2/3)GaO3(ZnO)3 ,Rhombohedral ,3.15
(Sn0.5Zn0.5)GaO3(ZnO)3 ,Hexagonal ,2.99
(Sn0.5Zn0.5)GaO3(ZnO)4 ,Hexagonal ,3
(Sn0.5Zn0.5)GaO3(ZnO)5 ,Hexagonal ,2.99
(VO)3(AsO4)2*2H2O ,Triclinic ,0.75
[(Bi3O2)(SeO3)2](NO3) ,Monoclinic ,3.395
[Bi(TeO3)](NO3) ,Monoclinic ,3.31
[Bi2(TeO3)2](SO4) ,Monoclinic ,3.6
[Hg3Te2][UCl6] ,Monoclinic ,2.6
[Hg4As2](InBr3.5As0.5) ,Hexagonal ,1.71
[Hg4As2][UCl6] ,Orthorhombic ,1.9
[O2Pb3]2(BO3)Br ,Orthorhombic ,2.84
[Pb3(B3O7)](NO3) ,Orthorhombic ,3.64
[Te8]2[Ta4O4Cl16] ,Monoclinic ,1.15
Ag0.1Cd0.8In2.1Te4 ,Tetragonal ,0.29
Ag0.25Cd0.5In2.25Te4 ,Tetragonal ,0.39
Ag0.2Cd0.75In2.1Te4 ,Tetragonal ,0.54
Ag0.4Cd0.2In2.4Te4 ,Tetragonal ,0.42
Ag0.4Cd0.5In2.2Te4 ,Tetragonal ,0.19
Ag0.5Eu1.75GeS4 ,Cubic ,2.14
Ag0.5Pb1.75GeS4 ,Cubic ,1.83
Ag0.5Pb1.75GeSe4 ,Cubic ,1.51
Ag1.75InSb5.75Se11 ,Monoclinic ,0.94
Ag2(MoO2(IO3)4 ,Monoclinic ,3.06
Ag2(V2O4)(IO3)4 ,Orthorhombic ,2.24
Ag2(VO2)(IO3)3 ,Orthorhombic ,2.16
Ag2.7Ba6Sn4.3S16 ,Cubic ,1.48
Ag2CdGeS4 ,Orthorhombic ,2.32
Ag2CdP2S6 ,Monoclinic ,2.517333333
Ag2Ga2SiS6 ,Tetragonal ,2.35
Ag2Ga2SiSe6 ,Tetragonal ,2.05
Ag2Nb[P2S6][S2] ,Orthorhombic ,2.02
Ag2ZnSiS4 ,Monoclinic ,3.28
Ag3Ga3SiSe8 ,Tetragonal ,2.3
Ag3Ge2S5Br ,Cubic ,1.52
Ag3I[(MoO3)2(IO3)2] ,Orthorhombic ,2.31
Ag4Ba6Sn4S16 ,Cubic ,2.195
AgBiP2S6 ,Triclinic ,1.7
AgBiP2Se6 ,Rhombohedral ,1.4
AgCd3(PS4)S2 ,Monoclinic ,2.1305
AgGa2PS6 ,Monoclinic ,2.75
AgGaGe3Se8 ,Orthorhombic ,2.117
AgGaGe5Se12 ,Orthorhombic ,2.1245
AgGaGeS4 ,Orthorhombic ,2.858666667
AgGaSiSe4 ,Orthorhombic ,2.415
AgInCd2Te3 ,Cubic ,0.47
AgLi0.33Sn0.67O2 ,Rhombohedral ,2.7
AgLi0.33Ti0.67O2 ,Rhombohedral ,2.7
AgNb2PS10 ,Monoclinic ,1.78
AgPbBiSe3 ,Cubic ,0.13
AgPd(IO3)3 ,Triclinic ,1.5
AgScP2Se6 ,trigonal ,1.55
AgZnPS4 ,Orthorhombic ,2.76
