formula,Crystal System,band_gap_calculated (eV)
Cs2RbAlF6,Cubic,8.3194
BH3NF3,Orthorhombic,7.8767
KB(CF3)4,Orthorhombic,7.8591
NdB2HF10,Monoclinic,7.7826
PrB2HF10,Monoclinic,7.7517
NaLiBeF4,Orthorhombic,7.6765
BH3OF4,Triclinic,7.6573
LiCaAlF6,Trigonal,7.6448
BH2OF3,Monoclinic,7.5677
NaLiHo2F8,Orthorhombic,7.5674
LiMgAlF6,Trigonal,7.5661
BH3NF4,Triclinic,7.5583
NaLiTm2F8,Orthorhombic,7.552
RbLuBeF6,Monoclinic,7.551
KLiLuF5,Monoclinic,7.4932
BH4NF4,Orthorhombic,7.4812
KLuBeF6,Monoclinic,7.4759
NaLiEr2F8,Orthorhombic,7.4719
KTmBeF6,Monoclinic,7.4658
BaLiAlF6,Monoclinic,7.4521
K2LiAlF6,Cubic,7.4418
KErBeF6,Monoclinic,7.4221
RbYBeF6,Monoclinic,7.4093
RbDyBeF6,Monoclinic,7.4075
KHoBeF6,Monoclinic,7.4029
KLiDyF5,Monoclinic,7.3887
H16C3NF7,Hexagonal,7.3842
KLiTmF5,Monoclinic,7.3809
KLiYF5,Monoclinic,7.3716
H13C3NF4,Triclinic,7.3708
SrLiAlF6,Monoclinic,7.3463
H14C3NF5,Triclinic,7.3363
SrLiAlF6,Monoclinic,7.3233
SrLiAlF6,Trigonal,7.3154
NaLiY2F8,Orthorhombic,7.3028
KCaAl2F9,Orthorhombic,7.2891
BaBPF10,Hexagonal,7.2843
BeH6(NF2)2,Monoclinic,7.2812
H14C4NF3,Orthorhombic,7.2811
H12C3NF3,Orthorhombic,7.2752
K2LiAlF6,Trigonal,7.2688
Cs2LiYF6,Cubic,7.2663
BH5(OF2)2,Monoclinic,7.264
Rb2LiAlF6,Cubic,7.248
K2LiAlF6,Trigonal,7.2178
Cs2Ca2Be3F12,Cubic,7.2156
RbLi2Be2F7,Monoclinic,7.2125
Na3Li3Al2F12,Cubic,7.1947
BaCaAlF7,Monoclinic,7.1873
Rb2Mg2Be3F12,Cubic,7.1687
Na2LiAlF6,Monoclinic,7.1665
K2SrBe2F8,Trigonal,7.1626
BaNaAlF6,Orthorhombic,7.1482
Na3LiBe2F8,Monoclinic,7.1459
Na2Ca3Al2F14,Cubic,7.143
K2Mg2Be3F12,Cubic,7.1325
Rb2NaAl3F12,Monoclinic,7.1302
SiH6(NF3)2,Orthorhombic,7.1293
NaCaAlF6,Trigonal,7.1135
KBCF6,Monoclinic,7.1092
SiH7N2F5,Monoclinic,7.1042
Cs2LiAl3F12,Trigonal,7.0872
PH3NF5,Monoclinic,7.0675
BH4O2F3,Monoclinic,7.0555
Cs2LiNdF6,Cubic,7.055
PHOF2,Orthorhombic,7.051
Na3Sr4Al5F26,Tetragonal,7.0486
