formula,Crystal System,band_gap_experimenatal (eV)
LiB3O5 ,Orthorhombic ,7.765
KTi2F7 ,Orthorhombic ,6.4
DyPO4 ,Tetragonal ,6.38
BaB2O4 ,Hexagonal ,6.315
K2ReH9 ,Hexagonal ,5.71
LiGaO2 ,Orthorhombic ,5.6
Ge(SeO3)2 ,Cubic ,5.31
Ge(SeO3)2 ,Monoclinic ,5.27
Ba2B6O11 ,Monoclinic ,5.17
SrSeO4 ,Monoclinic ,4.75
ZnGa2O4 ,Cubic ,4.7
Se2B2O7 ,Orthorhombic ,4.64
Ga2Se2O7 ,Orthorhombic ,4.61
Tb4Al2O9 ,Monoclinic ,4.59
MgSiN2 ,Orthorhombic ,4.525
CaSnO3 ,Orthorhombic ,4.4
LaGaO3 ,Orthorhombic ,4.4
PbSeO4 ,Monoclinic ,4.3
LiIO3 ,Hexagonal ,4.185
Ga2(TeO3)3 ,Hexagonal ,4.15
Ga2(TeO3)3 ,Cubic ,4.14
BaGa2S4 ,Cubic ,4.125
Ca3B2N4 ,Orthorhombic ,4.1
LiTaO3 ,Hexagonal ,4.1
SrSnO3 ,Orthorhombic ,4.1
Bi7F11O5 ,Monoclinic ,4.05
PrBN2 ,Rhombohedral ,4
LiGaS2 ,Orthorhombic ,3.973333333
MgGeN2 ,Orthorhombic ,3.933333333
CdTeO3 ,Monoclinic ,3.91
KIO3 ,Trigonal ,3.906666667
Ca3B2N4 ,Cubic ,3.9
ZnSnO3 ,Rhombohedral ,3.9
ZnSiN2 ,Orthorhombic ,3.875
KIO3 ,Cubic ,3.8575
BiPO4 ,Hexagonal ,3.85
AgScO2 ,Hexagonal ,3.8
LiNbO3 ,Hexagonal ,3.8
CdP2S4 ,Trigonal ,3.76
NaSbF6 ,Cubic ,3.76
Li3PS4 ,Orthorhombic ,3.68
Pr2Te4O11 ,Monoclinic ,3.65
CuBS2 ,Tetragonal ,3.61
KNbO3 ,Tetragonal ,3.6
Zn2GaO4 ,Cubic ,3.6
LiInS2 ,Orthorhombic ,3.573333333
CdTeO3 ,Orthorhombic ,3.55
BaGa4S7 ,Orthorhombic ,3.54
Na2Ti3O7 ,Monoclinic ,3.51
Ce15B8N25 ,Rhombohedral ,3.5
CuYO2 ,Hexagonal ,3.5
KTaO3 ,Cubic ,3.5
BiOCl ,Tetragonal ,3.455
BaReH9 ,Hexagonal ,3.44
Pb17O8Cl18 ,Orthorhombic ,3.44
CdGa2S4 ,Tetragonal ,3.424
Bi2O2CO3 ,Orthorhombic ,3.42
SrTIO3 ,Cubic ,3.4125
Sr2TiO4 ,Tetragonal ,3.41
AgAlO2 ,Hexagonal ,3.4
BaAl4Se7 ,Monoclinic ,3.4
CsInS2 ,Monoclinic ,3.4
H2Ti6O13 ,Monoclinic ,3.4
HgBrCl ,Orthorhombic ,3.4
TlGaS2 ,Tetragonal ,3.4
AgAlS2 ,Tetragonal ,3.3475
LiGaSe2 ,Orthorhombic ,3.345
Ca6Bi6O15 ,Triclinic ,3.34
AgGaO2 ,Hexagonal ,3.3
Bi2(IO4)(IO3)3 ,Orthorhombic ,3.3
Bi3Ge3O10.5 ,Cubic ,3.3
CuScO2 ,Hexagonal ,3.3
RbInS2 ,Monoclinic ,3.3
Bi8O6(AsO3)2(AsO4)2 ,Monoclinic ,3.28
CsGaS2 ,Monoclinic ,3.27
Sr3Ti2O7 ,Tetragonal ,3.26
Bi12PO20 ,Cubic ,3.25
Bi24VO41 ,Cubic ,3.25
CaMg2N2 ,Hexagonal ,3.25
Rb3Bi2Br9 ,Monoclinic ,3.245
Bi12GeO20 ,Cubic ,3.225
Bi12SiO20 ,Cubic ,3.225
ZnGeN2 ,Orthorhombic ,3.225
CeScO3 ,Orthorhombic ,3.2
LiMgN ,Cubic ,3.2
SrPb3Br8 ,Orthorhombic ,3.2
CuAlS2 ,Tetragonal ,3.166666667
BaGa2Se4 ,Orthorhombic ,3.163
AgInO2 ,Hexagonal ,3.15
CuCrO2 ,Hexagonal ,3.13
InPS4 ,Tetragonal ,3.12
Bi25TiO39 ,Cubic ,3.1
SnGa4S7 ,Monoclinic ,3.1
Bi12TiO20 ,Cubic ,3.09
Cs2Ga2S5 ,Monoclinic ,3.085
CaBi2O4 ,Monoclinic ,3.08
PbGa4S7 ,Monoclinic ,3.08
Zn3(PS4)2 ,Tetragonal ,3.07
NaNO2 ,Orthorhombic ,3.06
BaIn2S4 ,Orthorhombic ,3.057
BaSnO3 ,Cubic ,3.02
Ba3GeS5 ,Orthorhombic ,3
CdSnO3 ,Orthorhombic ,3
Cu3TaS4 ,Cubic ,3
K2ZnTe2 ,Orthorhombic ,3
Bi25GaO39 ,Cubic ,2.99
TlCuCl3 ,Monoclinic ,2.98
In2Se2O7 ,Orthorhombic ,2.97
Cs3Sb2Cl9 ,Trigonal ,2.955
Sb5O7I ,Hexagonal ,2.925
BiOBr ,Tetragonal ,2.924
Bi24BO39 ,Cubic ,2.91
Bi2Mo3O12 ,Monoclinic ,2.9
CaPr2S4 ,Cubic ,2.9
Li3ScN2 ,Cubic ,2.9
CsGaS3 ,Monoclinic ,2.89
Bi38ZnO58 ,Cubic ,2.88
Y3GaS6 ,Orthorhombic ,2.88
EuVO4 ,Tetragonal ,2.866666667
Cs3Sb2Cl9 ,Orthorhombic ,2.86
SrLa2S4 ,Cubic ,2.85
Zn3In2S6 ,Trigonal ,2.85
LiInSe2 ,Orthorhombic ,2.84
HgGa2S4 ,Tetragonal ,2.82
CsInSe2 ,Monoclinic ,2.81
Dy3GaS6 ,Orthorhombic ,2.81
Bi25FeO39 ,Cubic ,2.8
Cs2Hg3S4 ,Orthorhombic ,2.8
Tl4CdI6 ,Tetragonal ,2.8
BaTiO3 ,Tetragonal ,2.783571429
Bi5O7I ,Orthorhombic ,2.76
Ca4Bi6O13 ,Orthorhombic ,2.76
Ba2ZnSe3 ,Orthorhombic ,2.75
Cu3NbS4 ,Cubic ,2.75
InP2S4 ,Monoclinic ,2.75
K2Cd3S4 ,Orthorhombic ,2.75
Sb8O11I2 ,Monoclinic ,2.741666667
EuAl2O4 ,Monoclinic ,2.74
KNbO3 ,Cubic ,2.73
Zn6S5Cl2 ,Orthorhombic ,2.71
CaLa2S4 ,Cubic ,2.7
CaNd2S4 ,Cubic ,2.7
Mg3B50C8 ,Monoclinic ,2.7
SrPr2S4 ,Cubic ,2.7
ZnIn2S4 ,Trigonal ,2.6905
Cu2Ta4O11 ,Monoclinic ,2.65
MnSb2O4 ,Tetragonal ,2.65
CsGaSe2 ,Monoclinic ,2.633333333
BaIn2Se4 ,Orthorhombic ,2.625
Nd4(GeS4)3 ,Trigonal ,2.62
Rb3Bi2Br9 ,Orthorhombic ,2.62
Li8GeN4 ,Cubic ,2.61
NaLaS3 ,Orthorhombic ,2.61
CdLa2S4 ,Cubic ,2.6
CuAgSe2 ,Tetragonal ,2.6
HgPS3 ,Triclinic ,2.6
KGaSe2 ,Monoclinic ,2.6
Li3AlP2 ,Orthorhombic ,2.6
TaON ,Monoclinic ,2.6
Zn3B2O6 ,Monoclinic ,2.6
Sn2WO5 ,Monoclinic ,2.597
Cu2Ta11O30 ,Hexagonal ,2.59
Cu5Ta11O30 ,Hexagonal ,2.59
Ba12In4S19 ,Trigonal ,2.56
Cs2Hg3I8 ,Monoclinic ,2.56
RbHgI3 ,Orthorhombic ,2.56
Ba4Ga2S8 ,Monoclinic ,2.55
CaGd2S4 ,Cubic ,2.55
SnGa4Se7 ,Monoclinic ,2.55
CuGaS2 ,Tetragonal ,2.526363636
BaIn2Se4 ,Monoclinic ,2.52
Sb3O4I ,Orthorhombic ,2.52
TlInS2 ,Orthorhombic ,2.52
Ba5Ga2Se8 ,Orthorhombic ,2.51
BaTiO3 ,Rhombohedral ,2.51
K6CdTe4 ,Hexagonal ,2.51
Cs3Bi2Br9 ,Trigonal ,2.5
K2Cd3Se4 ,Orthorhombic ,2.5
LaGaS3 ,Orthorhombic ,2.5
LaS1.86Se0.14 ,Orthorhombic ,2.5
Mn2P2Se6 ,Trigonal ,2.5
RbTbSe2 ,Trigonal ,2.5
BaGa2Se4 ,Tetragonal ,2.49
Sn3WO6 ,Monoclinic ,2.49
Cs2Cd3Te4 ,Orthorhombic ,2.48
Rb3Sb2Br9 ,Trigonal ,2.48
Ag2HgI4 ,Tetragonal ,2.47
Ba2In2S5 ,Orthorhombic ,2.47
Cu3Ta7O19 ,Hexagonal ,2.47
Cu3Ta7O9 ,Hexagonal ,2.47
SrCrO4 ,Monoclinic ,2.45
SrNd2S4 ,Cubic ,2.45
ZnSiP2 ,Tetragonal ,2.448333333
Cs2P2Se8 ,Orthorhombic ,2.44
Tl3TaS4 ,Cubic ,2.44
Cu3TaSe4 ,Cubic ,2.43
CuGa2S3.5 ,Tetragonal ,2.42
K4Ta2S11 ,Triclinic ,2.42
PbGa2S4 ,Orthorhombic ,2.42
Ba2HgS5 ,Orthorhombic ,2.4
Ba3Sb2S7 ,Monoclinic ,2.4
CdGa2Se4 ,Tetragonal ,2.392941176
Na2Ge2Se5 ,Orthorhombic ,2.38
AgAlSe2 ,Tetragonal ,2.3775
EuIn2S4 ,Orthorhombic ,2.37
BaSn2S5 ,Orthorhombic ,2.35
Cs4Zr3S14 ,Monoclinic ,2.35
K4Ta2S11 ,Orthorhombic ,2.35
MgSiP2 ,Tetragonal ,2.35
Na2TeS3 ,Monoclinic ,2.35
AgGaS2 ,Tetragonal ,2.3478125
CdIn2S4 ,Cubic ,2.345882353
Lu5GaS9 ,Triclinic ,2.34
Ca2SnS4 ,Orthorhombic ,2.32
