formula,Crystal System,band_gap_calculated (eV)
LiHF2,Monoclinic,8.5965
NaYF4,Trigonal,8.5918
CaB2F8,Orthorhombic,8.4551
LiHF2,Monoclinic,8.3948
SrB2F8,Orthorhombic,8.3012
LiBF4,Trigonal,8.246
RbBe2F5,Monoclinic,8.178
Li2SiF6,Trigonal,8.0844
Li3AlF6,Orthorhombic,8.0807
BaB2F8,Monoclinic,8.0511
LiHF2,Trigonal,8.0448
KBF4,Orthorhombic,7.9399
BaB2F8,Monoclinic,7.9364
NaBF4,Orthorhombic,7.8463
LiYF4,Tetragonal,7.8341
LiYF4,Monoclinic,7.815
Li3AlF6,Monoclinic,7.7827
LiLuF4,Monoclinic,7.7542
RbBF4,Orthorhombic,7.737
Li2BeF4,Trigonal,7.7223
CaH2F4,Orthorhombic,7.6467
CsBF4,Orthorhombic,7.6306
BaH6F8,Hexagonal,7.5719
BaBeF4,Orthorhombic,7.5555
PHF4,Monoclinic,7.5478
LiPF6,Trigonal,7.5394
Li2BF5,Tetragonal,7.5351
SrBeF4,Monoclinic,7.524
KYb2F7,Orthorhombic,7.4517
LiYF4,Monoclinic,7.4204
BaSiF6,Trigonal,7.4159
SrAlF5,Monoclinic,7.4116
H6OF4,Triclinic,7.3988
NaYF4,Hexagonal,7.3745
KH3F4,Trigonal,7.3743
NaYF4,Monoclinic,7.3695
NaYF4,Trigonal,7.3417
KBF4,Triclinic,7.3167
NaNdF4,Hexagonal,7.315
BaLu2F8,Orthorhombic,7.3128
K2H5F7,Monoclinic,7.3004
BaAlF5,Orthorhombic,7.2887
LiBO2,Tetragonal,7.2811
RbEr3F10,Hexagonal,7.2806
H7NF4,Trigonal,7.2658
BaYF5,Monoclinic,7.2652
BPO4,Tetragonal,7.2565
KEr2F7,Orthorhombic,7.2505
BaTm2F8,Monoclinic,7.2347
Cs2HfF6,Trigonal,7.2288
K2SiF6,Cubic,7.2234
BHO2,Cubic,7.2233
CaAl2F8,Monoclinic,7.2227
KPF6,Cubic,7.2209
BaEr2F8,Monoclinic,7.215
KSmF4,Orthorhombic,7.2117
H11NF8,Monoclinic,7.209
NaYF4,Triclinic,7.2052
BaAlF5,Monoclinic,7.204
K2SiF6,Hexagonal,7.1895
Ba3Y2F12,Tetragonal,7.1869
KEr2F7,Orthorhombic,7.1825
CsBe2F5,Cubic,7.1809
Ba2YF7,Monoclinic,7.1675
P(HO)3,Orthorhombic,7.1585
H8NF5,Tetragonal,7.1546
CaAlF5,Monoclinic,7.1538
BaY3F11,Triclinic,7.1448
Ca2AlF7,Orthorhombic,7.1413
CsPF6,Trigonal,7.1409
SrAlF5,Tetragonal,7.1404
KPrF4,Orthorhombic,7.1334
CaAlF5,Monoclinic,7.1329
BaY2F8,Monoclinic,7.1307
Rb2HfF6,Trigonal,7.1298
CsLi2F3,Tetragonal,7.1281
BaAlF5,Triclinic,7.1265
KNdF4,Orthorhombic,7.126
BaHfF6,Orthorhombic,7.1232
KLu3F10,Cubic,7.1232
SrB4O7,Orthorhombic,7.1191
KPF6,Trigonal,7.1178
K2TmF5,Orthorhombic,7.114
K2HoF5,Orthorhombic,7.1033
BaMgF4,Orthorhombic,7.0958
RbTb3F10,Cubic,7.0894
RbBe2F5,Triclinic,7.0887
KHo3F10,Cubic,7.085
BaAlF5,Monoclinic,7.0742
KLu3F10,Hexagonal,7.0737
KEr3F10,Cubic,7.0649
NaNdF4,Triclinic,7.0629
H4OF2,Monoclinic,7.0619
KBeF3,Orthorhombic,7.0613
CsYbF3,Cubic,7.0604
KTm2F7,Monoclinic,7.0594
NaY2F7,Monoclinic,7.0369
KPF6,Trigonal,7.0368
NaPF6,Cubic,7.0251
KEr3F10,Monoclinic,7.0218
CsH2F3,Orthorhombic,7.0151
BPO4,Trigonal,6.9984
Rb2SiF6,Cubic,6.9955
Na2SiF6,Trigonal,6.9951
KDy3F10,Cubic,6.9883
KHo2F7,Monoclinic,6.9847
CsAlF4,Hexagonal,6.977
KYF4,Trigonal,6.9712
NaHF2,Trigonal,6.9678
KHF2,Tetragonal,6.9658
BaYF5,Triclinic,6.9652
Ba2Mg3F10,Monoclinic,6.9595
KAlF4,Orthorhombic,6.9578
LuHfF7,Monoclinic,6.9578
RbAlF4,Orthorhombic,6.9564
KMgF3,Cubic,6.9537
SrAlF5,Tetragonal,6.9521
BeSO4,Tetragonal,6.9502
KTb3F10,Cubic,6.9502
KH4F5,Tetragonal,6.9492
RbAlF4,Tetragonal,6.9442
RbAlF4,Tetragonal,6.9433
KY3F10,Cubic,6.9409
RbMgF3,Cubic,6.9384
Ba2YF7,Monoclinic,6.9383
KAlF4,Tetragonal,6.9377
Sr5Al2F16,Orthorhombic,6.9362
KHo2F7,Monoclinic,6.9253
NaYF4,Tetragonal,6.9245
RbLu3F10,Orthorhombic,6.9097
KAlF4,Monoclinic,6.9087
BaYF5,Orthorhombic,6.9081
RbSm3F10,Cubic,6.9065
H5NF2,Orthorhombic,6.9008
CsCaF3,Cubic,6.9005
Ba5Al3F19,Tetragonal,6.9003
K2HfF6,Cubic,6.8994
Cs2SiF6,Cubic,6.8901
HoHfF7,Monoclinic,6.8874
TmHfF7,Monoclinic,6.8844
KDy2F7,Monoclinic,6.8783
RbAlF4,Tetragonal,6.8772
Na2SiF6,Trigonal,6.8743
NaHoF4,Tetragonal,6.8743
K2BeF4,Orthorhombic,6.8658
RbNdF4,Orthorhombic,6.8626
BaYF5,Monoclinic,6.862
BaYF5,Monoclinic,6.8592
RbPrF4,Orthorhombic,6.8588
ErHfF7,Monoclinic,6.8586
Sr5Al3F19,Tetragonal,6.8558
TbHfF7,Monoclinic,6.8555
NaErF4,Tetragonal,6.854
Ba6Mg7F26,Orthorhombic,6.8522
DyHfF7,Monoclinic,6.8513
K2BeF4,Orthorhombic,6.8508
KTmF4,Trigonal,6.8499
Na3ScF6,Monoclinic,6.8442
BaYF5,Monoclinic,6.8358
K2HfF6,Hexagonal,6.8346
SmHfF7,Monoclinic,6.8303
NdHfF7,Monoclinic,6.8273
PrHfF7,Monoclinic,6.8266
LiBH4,Hexagonal,6.8235
CsLi3F4,Monoclinic,6.82
NaYF4,Tetragonal,6.8193
KTb2F7,Monoclinic,6.8138
LiBH4,Orthorhombic,6.8115
BaYF5,Monoclinic,6.8113
K2YF5,Orthorhombic,6.81
KTh6F25,Monoclinic,6.809
NaErF4,Tetragonal,6.8042
BaMgF4,Orthorhombic,6.8005
RbHfF5,Orthorhombic,6.8
KY2F7,Monoclinic,6.7942
K2TbF5,Orthorhombic,6.793
KAlF4,Tetragonal,6.7929
YHfF7,Monoclinic,6.7925
K2ErF5,Orthorhombic,6.7896
Si2H2O3,Orthorhombic,6.7877
