formula,Crystal System,band_gap_experimenatal (eV)
As ,Trigonal ,0.8005
Au ,Cubic ,2.6
B ,Amorphous ,1.3
B ,Tetragonal ,1.431157895
B ,Trigonal ,1.775
Bi ,Trigonal ,0.028242857
C ,Cubic ,5.475125
C ,Hexagonal ,0
Ge ,Amorphous ,0.7
Ge ,Cubic ,0.714545455
I ,Orthorhombic ,1.40875
P ,Cubic ,1.7375
P ,Monoclinic ,2
P ,Orthorhombic ,0.334
P ,Trigonal ,1.5
S ,Monoclinic ,3.931428571
S ,Orthorhombic ,2.55
Sb ,Trigonal ,0.115375
Se ,Monoclinic ,2.48
Se ,Trigonal ,1.811388889
Si ,Amorphous ,0.4
Si ,Cubic ,1.222241667
Sn ,Cubic ,0.150363636
Te ,Trigonal ,0.334666667
